name,label,elevation,active,display,globalid,locationname,locationmpname
TO 12 inch steel casing,TO 12 inch steel casing,25.98,Yes,,{0CF776BE-1751-4972-A152-AF675A63D10F},NWFWMD-ST. MARKS NWR FAS MONITOR-68m,NWFWMD-ST. MARKS NWR FAS MONITOR-68m - TO 12 inch steel casing
TO 2 inch PVC casing,TO 2 inch PVC casing,19.1,Yes,1.0,{AFD1A8D4-9E4C-401A-9F10-5C4B3AD23D64},NWFWMD-PORT ST JOE DEEP INTERMEDIATE,NWFWMD-PORT ST JOE DEEP INTERMEDIATE - TO 2 inch PVC casing
Aluminum angle on station,Aluminum angle on station,63.54,Yes,,{4BBE048B-8A12-47D4-BB67-9595A76DB533},ALFORD ARM TRIB@MICC,ALFORD ARM TRIB@MICC - Aluminum angle on station
TO threaded tee for vent with cap removed,TO threaded tee for vent with cap removed,232.58,Yes,,{69B6D268-FF70-4E21-834D-4886824CE441},EAFB FLD #1 ER-17R,EAFB FLD #1 ER-17R - TO threaded tee for vent with cap removed
TO lock rim,TO lock rim,167.31,Yes,,{B8694FDD-B497-4AF7-8BA3-8F66B8D72B4B},INTERNATIONAL PAPER @ CYPRESS,INTERNATIONAL PAPER @ CYPRESS - TO lock rim
TO T fitting on vent pipe with plug removed,TO T fitting on vent pipe with plug removed,156.34,Yes,,{A56BD139-C6D4-46B4-8E58-217A50AEF89E},EAFB FLD #2 ER-24R,EAFB FLD #2 ER-24R - TO T fitting on vent pipe with plug removed
TO 4 inch coupling on 4 inch casing,TO 4 inch coupling on 4 inch casing,23.07,Yes,1.0,{89DAA5D5-A6DF-415F-8587-42090A7CE250},USFS PORTER LAKE,USFS PORTER LAKE - TO 4 inch coupling on 4 inch casing
TO 4 inch steel casing,TO 4 inch steel casing,18.58,Yes,,{9AA3F783-2054-4D62-BD76-F89DDD8CF92C},EPWSD SITE 3 APT MW-50D,EPWSD SITE 3 APT MW-50D - TO 4 inch steel casing
TO 2 inch PVC casing,TO 2 inch PVC casing,164.2,Yes,,{B7A3CDBE-C58F-46C5-9208-02CDC280A5B1},FGS-TRAPP POND INTERMEDIATE,FGS-TRAPP POND INTERMEDIATE - TO 2 inch PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,20.0,Yes,1.0,{552C8DFD-4608-4516-BF96-627476FCD6BA},NWFWMD-GREEN POINT SURFICIAL,NWFWMD-GREEN POINT SURFICIAL - TO 2 inch PVC casing
Ch square on alum I-beam,Ch square on alum I-beam,31.26,Yes,,{5ADDE370-757D-4E00-885A-3F09D261E76D},LAKE MUNSON OUTFALL,LAKE MUNSON OUTFALL - Ch square on alum I-beam
TO sanitary seal,TO sanitary seal,151.04,Yes,,{2B411446-9A1F-4516-9C07-2670952B4373},SWU-FAF #47 MONITOR/S655,SWU-FAF #47 MONITOR/S655 - TO sanitary seal
Ch Square on downstream headwall,Ch Square on downstream headwall,81.82,Yes,,{2CFC480E-7EAD-4B4B-869D-3AF0070E864F},LAKE KANTURK OUTFALL,LAKE KANTURK OUTFALL - Ch Square on downstream headwall
TO 4 inch PVC casing,TO 4 inch PVC casing,108.74,Yes,1.0,{57A3A045-00A9-4CD4-B256-BE76AB04E20A},NWFWMD-OTTER CAMP SURFICIAL,NWFWMD-OTTER CAMP SURFICIAL - TO 4 inch PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,18.09,Yes,,{68F1359C-5EAA-4ADF-98D8-E8C3A959B547},NWFWMD-EASTPOINT #4 SHALLOW MW,NWFWMD-EASTPOINT #4 SHALLOW MW - TO 2 inch PVC casing
TO 4 inch metal well casing,TO 4 inch metal well casing,60.1,Yes,,{E9CE498A-A579-462D-A7B2-ABC3A7E96BA2},PLACID OIL - SUPPLY,PLACID OIL - SUPPLY - TO 4 inch metal well casing
1.75 inch pipe,1.75 inch pipe,159.48,Yes,,{F3EF5169-F345-4950-B2A1-C716D075196F},Lauder Pond near Thomasville/Bannerman Rd,Lauder Pond near Thomasville/Bannerman Rd - 1.75 inch pipe
Ch Sq NE corner south box,Ch Sq NE corner south box,164.99,Yes,,{54C4BAC5-8EEF-41B4-937D-13AAC978CC33},Lauder Pond near Thomasville/Bannerman Rd,Lauder Pond near Thomasville/Bannerman Rd - Ch Sq NE corner south box
Staff,Staff,159.48,Yes,,{E1C91857-93CE-4AE9-A5E7-BF4999B98B0E},Lauder Pond near Thomasville/Bannerman Rd,Lauder Pond near Thomasville/Bannerman Rd - Staff
TO 4 inch PVC casing,TO 4 inch PVC casing,14.13,Yes,,{52755AF7-1CD0-41B4-BC53-291BF719BB1A},NWFWMD - White City IAS-M1,NWFWMD - White City IAS-M1 - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,106.94,Yes,,{979E1B2B-A59B-43EF-8D08-B5975DA6D369},NWFWMD GW-3S (ANF FR-305),NWFWMD GW-3S (ANF FR-305) - TO 4 inch PVC casing
TO 3 inch steel protective casing,TO 3 inch steel protective casing,26.05,Yes,1.0,{1CBEAE4E-9817-4A4F-952F-80CF7BF3906C},NWFWMD-WELLER AVE MPZ,NWFWMD-WELLER AVE MPZ - TO 3 inch steel protective casing
Alum support arm for TB,Alum support arm for TB,14.4,Yes,,{7E3E46D1-9DA3-4AE8-955C-2EE7C34FDB6D},OCHLOCKONEE RIVER @ US 319,OCHLOCKONEE RIVER @ US 319 - Alum support arm for TB
Ch square on bridge rail,Ch square on bridge rail,18.15,Yes,,{001D7916-47CD-4852-8280-6E4C9D116260},OCHLOCKONEE RIVER @ US 319,OCHLOCKONEE RIVER @ US 319 - Ch square on bridge rail
TO sanitary seal,TO sanitary seal,175.32,Yes,,{A1272E50-2056-4315-95F9-6A80EA9B9DDA},REDBAY TOWER/AKA USGS 43,REDBAY TOWER/AKA USGS 43 - TO sanitary seal
TO 6 inch steel casing,TO 6 inch steel casing,13.62,Yes,,{BF6A3B11-8EFB-4409-8F97-1C1C7430F30E},NWFWMD - White City FAS-M1,NWFWMD - White City FAS-M1 - TO 6 inch steel casing
TO 2 inch PVC casing,TO 2 inch PVC casing,19.25,Yes,1.0,{28576FA1-69FD-4649-81FC-204C63F467D6},NWFWMD-PORT ST JOE SHALLOW INT #2,NWFWMD-PORT ST JOE SHALLOW INT #2 - TO 2 inch PVC casing
TO sanitary seal,TO sanitary seal,62.78,Yes,,{B4463C24-3D8E-47C7-A239-91758F74EA45},Washington Co - Pine Ridge Dr #1,Washington Co - Pine Ridge Dr #1 - TO sanitary seal
TO 4 inch steel casing,TO 4 inch steel casing,22.22,Yes,,{7D838F43-6D20-45F8-81A1-B714C2E37B9F},NWFWMD-OLD PLANK #1,NWFWMD-OLD PLANK #1 - TO 4 inch steel casing
Staff on metal fence post,Staff on metal fence post,5.07,Yes,,{EFBECB24-5111-4B67-8AA1-D2A4B7D9CB66},ECONFINA CREEK @ SR 20,ECONFINA CREEK @ SR 20 - Staff on metal fence post
Top of Lag bolt in Cypress Tree,Top of Lag bolt in Cypress Tree,9.87,Yes,,{42D3FFB5-295F-4B0F-A033-2BE3CB2AC99B},ECONFINA CREEK @ SR 20,ECONFINA CREEK @ SR 20 - Top of Lag bolt in Cypress Tree
TO steel casing,TO steel casing,127.03,Yes,,{6BD16400-B1D2-4CFF-861F-F10406566A23},USGS 035-706-01/TEST #7,USGS 035-706-01/TEST #7 - TO steel casing
TO reducer,TO reducer,151.65,Yes,,{E1602A37-B992-4036-9A75-4EF418392156},QUINCY #3,QUINCY #3 - TO reducer
TO 4 inch PVC casing,TO 4 inch PVC casing,37.86,Yes,1.0,{7E704B61-617C-4609-A082-2BAB05FA3E1F},NWFWMD-BIKE TRAIL / NITRATE POT. MAP,NWFWMD-BIKE TRAIL / NITRATE POT. MAP - TO 4 inch PVC casing
1.75 inch pipe- Right of transducer pipe,1.75 inch pipe- Right of transducer pipe,33.51,Yes,,{5A64BBC8-2E41-4E29-BAF1-DB3029563F4B},Southwood SW Pond SB111B,Southwood SW Pond SB111B - 1.75 inch pipe- Right of transducer pipe
TO wood base of clam shell,TO wood base of clam shell,124.12,Yes,,{47A2E029-E3F3-44F4-9A12-6FDB98ADF882},USGS-LAKE JACKSON FLORIDAN/S705,USGS-LAKE JACKSON FLORIDAN/S705 - TO wood base of clam shell
TO sanitary seal,TO sanitary seal,33.34,Yes,,{862293C8-471A-4C91-8097-C0A379A6C7C7},WAKULLA PARKS AND RECREATION,WAKULLA PARKS AND RECREATION - TO sanitary seal
TO sanitary seal,TO sanitary seal,146.35,Yes,,{ADE5648F-6A24-4649-9EFB-C9E10277EF3F},DITTY JC-1 (JK-28),DITTY JC-1 (JK-28) - TO sanitary seal
TO 4 inch PVC casing,TO 4 inch PVC casing,88.27,Yes,,{3B5B40CA-C7D8-423D-AE03-EE8C149F859A},NWFWMD-BRENTWOOD PARK SZ,NWFWMD-BRENTWOOD PARK SZ - TO 4 inch PVC casing
TO sanitary seal,TO sanitary seal,229.6,Yes,,{2E4A1C16-4FF1-4DBC-BB9A-C91B31C5D791},BUCK REGISTER,BUCK REGISTER - TO sanitary seal
to 4in PVC casing,to 4in PVC casing,0.33,Yes,,{621263A0-6833-440A-93E9-2E6CB3A267BD},NORTH BAY TIDE @ CAUSEWAY,NORTH BAY TIDE @ CAUSEWAY - to 4in PVC casing
TO open locking cap at MP mark,TO open locking cap at MP mark,5.05,Yes,,{EC47D70F-C339-4023-B044-3B32139B7713},NORTH BAY TIDE @ CAUSEWAY,NORTH BAY TIDE @ CAUSEWAY - TO open locking cap at MP mark
TO steel casing,TO steel casing,9.71,Yes,1.0,{F9C3DC65-6A98-4C27-B2A8-4FA55DF96156},USGS-LESTER LEWIS/S788,USGS-LESTER LEWIS/S788 - TO steel casing
TO 4 inch steel casing,TO 4 inch steel casing,104.28,Yes,,{CBDACDDB-0AA0-4EA8-968E-18556B9C91F9},NWFWMD-POWER LINE/S731,NWFWMD-POWER LINE/S731 - TO 4 inch steel casing
TO sanitary seal,TO sanitary seal,77.09,Yes,,{EEDCF6EF-455E-4539-9ABA-9C2772E2583D},VALLEY VIEW SCHOOL,VALLEY VIEW SCHOOL - TO sanitary seal
Top of lock rim,Top of lock rim,123.19,Yes,,{9859C113-31BD-4723-BD6D-13FA364DF7EF},NWFWMD-2 EGG AMBIENT #3,NWFWMD-2 EGG AMBIENT #3 - Top of lock rim
Hole on TO cap,Hole on TO cap,30.42,Yes,,{5BB0C342-6657-43A9-AF3A-D3766CAF692E},USGS TH-9,USGS TH-9 - Hole on TO cap
TO 10 inch casing,TO 10 inch casing,33.63,Yes,1.0,{28BC8DA5-D6C6-41AD-BE75-6B379F7B850D},CAMP G JOHNSTON #10,CAMP G JOHNSTON #10 - TO 10 inch casing
Water level access pipe near pump base,Water level access pipe near pump base,135.29,Yes,,{6F36296B-678E-4A1C-89C9-33692D770314},COTTONDALE #3,COTTONDALE #3 - Water level access pipe near pump base
Ch Square,Ch Square,58.05,Yes,,{D7FB625F-7887-43FA-8944-AC9CC2BA8063},Central Drainage Ditch @ Lake Bradford Road,Central Drainage Ditch @ Lake Bradford Road - Ch Square
TO PVC casing,TO PVC casing,61.39,Yes,,{870413A6-95B2-45C2-8F12-2971228AF4B8},USGS TH-2,USGS TH-2 - TO PVC casing
TO PVC casing,TO PVC casing,264.66,Yes,,{0FCE9AE4-A6D8-4597-8E8E-E476DD778E37},NWFWMD-JACKSON STILL SURFICIAL,NWFWMD-JACKSON STILL SURFICIAL - TO PVC casing
TO 2 inch PVC casing,TO 2 inch PVC casing,305.5,Yes,,{B93D6A0E-2F5B-4F6A-B061-1A19EF9BE7D3},FGS-PAXTON AIRSTRIP,FGS-PAXTON AIRSTRIP - TO 2 inch PVC casing
TO 8 inch protective steel casing,TO 8 inch protective steel casing,36.81,Yes,,{6D29A6EC-3070-4FC3-89E3-C0B3E743B8DC},NWFWMD-SEAGROVE SHALLOW FLORIDAN,NWFWMD-SEAGROVE SHALLOW FLORIDAN - TO 8 inch protective steel casing
1.75 inch pipe,1.75 inch pipe,61.67,Yes,,{EED4CFF4-36BC-4BD2-9779-722D1681BAA8},PARK AV D.D.@ VIOLET - S100,PARK AV D.D.@ VIOLET - S100 - 1.75 inch pipe
Staff,Staff,59.49,Yes,,{5275E0F2-7333-4BC0-95F9-E9E33E14F395},PARK AV D.D.@ VIOLET - S100,PARK AV D.D.@ VIOLET - S100 - Staff
TO 4 inch PVC inner casing,TO 4 inch PVC inner casing,169.95,Yes,,{D44357F1-6A1C-4E81-850A-4E151F57A656},OCWS-DORCAS MONITOR,OCWS-DORCAS MONITOR - TO 4 inch PVC inner casing
Staff,Staff,0.0,Yes,,{CFBDEA29-789B-47BB-81E4-FE342F66335E},POWELL LAKE - CAMP HELEN,POWELL LAKE - CAMP HELEN - Staff
TO 4 inch steel casing,TO 4 inch steel casing,70.01,Yes,,{65F161BF-6978-4632-B6E8-8DEA3F524FC0},USGS-422A NEAR GREENHEAD/Floridan,USGS-422A NEAR GREENHEAD/Floridan - TO 4 inch steel casing
TO steel casing,TO steel casing,47.7,Yes,,{E041B82A-3C32-4433-8D96-1FC0DFCAD2CC},USGS LS-04,USGS LS-04 - TO steel casing
